金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 优选2斤一级果【礼盒+防震袋】,10061185703889,国产,冷藏
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 4斤精品果(保温箱+防震葡萄袋),10055341632580,国产,常温
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 白色情人之恋礼盒装(甄选特级果),10055341632583,国产,常温
北小喵官方旗舰店,阳光玫瑰,,阳光玫瑰,阳光玫瑰云南香印葡萄/提子  新鲜水果礼盒装 【精选尝鲜装】净重3斤串装 中果,10052608286412,冷冻,云南
京鲜冠生鲜旗舰店,京鲜冠（jingxianguan）,,云南,京鲜冠阳光玫瑰晴王葡萄日本引进品种当季新鲜水果礼盒 精选3斤大果【礼盒+防震袋】,10057421571810,国产,冷藏
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 精选4斤大果【礼盒+防震袋】,10054644423002,国产,冷藏
赛熙佰生鲜专营店,皓谦,,阳光玫瑰,皓谦阳光玫瑰葡萄晴王无籽香印水果新鲜阳光玫瑰 精选果3斤,10059112305433,控温,云南
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 5斤精品果(保温箱+防震葡萄袋),10055341632581,国产,常温
道冉水果专营店,吧唧果,,云南,吧唧果阳光玫瑰葡萄新鲜晴王香印提子新鲜水果礼盒 3斤精选装 防震葡萄袋,10060157011576,国产,控温
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 优选3斤一级果【礼盒+防震袋】,10061185703890,国产,冷藏
绿养道生鲜专营店,绿养道,,云南,绿养道云南新鲜阳光玫瑰 晴王葡萄 新鲜水果 3斤精品串装,69633936739,国产,冷藏
京鲜冠生鲜旗舰店,京鲜冠（jingxianguan）,,云南,京鲜冠阳光玫瑰晴王葡萄日本引进品种当季新鲜水果礼盒 精选5斤大果【礼盒+防震袋】,10057421603312,国产,冷藏
阿尔夫水果专营店,寄春（JICHUN）,,云南,寄春（JICHUN）阳光玫瑰晴王 当季新鲜 送礼葡萄无籽香印提子精品果 1斤,10067991920635,国产,控温
探味君生鲜旗舰店,探味君（TANWEIJUN）,,河北,探味君 阳光玫瑰葡萄 晴王香印无籽青葡萄提子 新鲜水果 3斤,10029716852702,国产,冷藏
众百亿生鲜专营店,鲜配坊,,阳光玫瑰,鲜配坊阳光玫瑰葡萄晴王葡萄日本引进品种无籽香印提子新鲜水果手提袋 2斤（颗粒装）,10060259079913,国产,北京
左零右果生鲜专营店,千朵云,,云南,千朵云阳光玫瑰葡萄晴王无籽香印提子新鲜水果手提袋礼盒 3斤特级果【精美礼盒装】,10057935585150,国产,冷藏
兴悦生鲜专营店,四叔公果蔬,,TM#644781679631,四叔公果蔬阳光玫瑰葡萄水果礼盒 晴王葡萄新鲜 整串葡萄水果礼盒送礼元旦礼 5斤【礼盒装10g+】 特大果整串发,10041290852461,山东,阳光玫瑰
兴悦生鲜专营店,四叔公果蔬,,TB#662256552926,四叔公果蔬阳光玫瑰葡萄（顺丰）脆甜阳光玫瑰日本引种晴王葡萄 2斤彩箱【单果12g+】,10045907443635,常温,阳光玫瑰
众百亿生鲜专营店,鲜配坊,,阳光玫瑰,鲜配坊阳光玫瑰葡萄晴王葡萄日本引进品种无籽香印提子新鲜水果手提袋 2斤特级果(保鲜箱+防震葡萄袋）,10060259079912,国产,北京
莘果农品水果官方旗舰店,莘果农品（XGNP）,,云南,莘果农品（XGNP）阳光玫瑰葡萄 晴王无籽香印提子新鲜水果手提袋礼盒 阳光玫瑰葡萄 1kg 装,10059541872470,国产,冷藏
京营水果专营店,沐小七果蔬,,云南,沐小七果蔬 阳光玫瑰 特级果【JD顺丰空运-可送货上门】晴王葡萄水果礼盒装  一级果2斤尝鲜装（约1-2串） 防挤压气柱+冰袋+保温箱,10066952301838,国产,冷冻
京品京保生鲜专营店,闽农语果,,4n48KjFi,闽农语果阳光玫瑰葡萄水果【5斤礼盒顺丰】新鲜水果青提晴王香印葡萄 2斤串装【防震礼盒箱】,10068715813747,中国大陆,阳光玫瑰
嘉笙美水果专营店,尤可力,,江苏,尤可力阳光玫瑰葡萄新鲜晴王香印提子新鲜水果礼盒 250g 尝鲜颗粒装,10069368706336,国产,控温
果贤达生鲜官方旗舰店,果贤达,,阳光玫瑰,果贤达晴王阳光玫瑰葡萄日本引进品种当季新鲜无核无籽香印葡萄水果 1.5斤【尝鲜装】,10056420931802,冷藏,云南
曙光沙窝生鲜专营店,沙窝曙光（shawoshuguang）,,阳光玫瑰,沙窝曙光（shawoshuguang）阳光玫瑰葡萄 新鲜日本品种晴王香印提子 水果礼盒装 精选5斤礼盒装,10061008632385,冷藏,陕西
众百亿生鲜专营店,鲜配坊,,阳光玫瑰,鲜配坊阳光玫瑰葡萄晴王葡萄日本引进品种无籽香印提子新鲜水果手提袋 3斤（颗粒装）,10060259079914,国产,北京
秋收生鲜专营店,译优农,,QS202209011800,译优农A+,10059607728274,河南,阳光玫瑰
鑫果滋生鲜旗舰店,鑫果滋,,阳光玫瑰,鑫果滋阳光玫瑰 日本品种晴王妮娜葡萄香印提子无籽翡翠时令新鲜水果 【2斤整串】妮娜皇后,10056461954101,国产,云南
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到4,100029124439,国产,冷藏
麦尔纬果蔬专营店,达林果蔬,,江苏,达林果蔬 阳光玫瑰晴王葡萄日本引进品种香印无籽提子 当季水果礼盒装 2斤精品果(保温箱+防震葡萄袋),10055341632578,国产,常温
合创水果专营店,尤可力,,阳光玫瑰,尤可力阳光玫瑰葡萄晴王香印提子新鲜水果 1斤尝鲜装【防震葡萄袋】,10060024306230,冷藏,江苏
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛【JD速运】阳光玫瑰晴王葡萄 新鲜水果时令生鲜 孕妇水果礼盒带箱 精选2斤大果【礼盒+防震袋】,10051300151159,国产,冷藏
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到严选5斤装 2-3串/箱,100052717869,国产,冷藏
金皓阳生鲜专营店,方盛（FANGSHENG）,,云南,方盛阳光玫瑰葡萄 新鲜水果 时令生鲜 阳光玫瑰甄选2斤特级果,10071437069539,国产,冷藏
京鲜到京东自营旗舰店,京鲜到,,云南,京鲜到甄选5斤礼盒装 2-3串/箱 ,100052717861,国产,冷藏
京鲜冠生鲜旗舰店,京鲜冠（jingxianguan）,,云南,京鲜冠阳光玫瑰晴王葡萄日本引进品种当季新鲜水果礼盒 精选2斤大果【礼盒+防震袋】,10057421571809,国产,冷藏
合创水果专营店,尤可力,,阳光玫瑰,尤可力阳光玫瑰葡萄晴王香印提子新鲜水果 2斤精选装【防震葡萄袋】,10060024306231,冷藏,江苏
